0914-102608.643 - 25147 - GA0008739EFmoqMp     - MSG : START - tr_cd=[00201050]+mall_id=[GA000873]+order_no=[2022090513285017536]
0914-102608.648 - 25147 - GA0008739EFmoqMp     - MSG : PG_서버_접속__정상
0914-102608.660 - 25147 - GA0008739EFmoqMp     - MSG : PG_서버_요청_전문_전송__정상
0914-102608.757 - 25147 - GA0008739EFmoqMp     - MSG : PG_서버_응답_전문_수신__정상
0914-102608.758 - 25147 - GA0008739EFmoqMp     - MSG : ENDED - res=[res_cd=0000res_msg=현금 영수증 정상 발급cno=22091410260910820906amount=7500auth_no=588820945tran_date=20220914102609]
0914-102609.025 - 25149 - GA0008739EFmoqMp     - MSG : START - tr_cd=[00201050]+mall_id=[GA000873]+order_no=[2022090513273617535]
0914-102609.029 - 25149 - GA0008739EFmoqMp     - MSG : PG_서버_접속__정상
0914-102609.041 - 25149 - GA0008739EFmoqMp     - MSG : PG_서버_요청_전문_전송__정상
0914-102609.138 - 25149 - GA0008739EFmoqMp     - MSG : PG_서버_응답_전문_수신__정상
0914-102609.140 - 25149 - GA0008739EFmoqMp     - MSG : ENDED - res=[res_cd=0000res_msg=현금 영수증 정상 발급cno=22091410261010820915amount=7500auth_no=588820946tran_date=20220914102610]
0914-102609.398 - 25151 - GA0008739EFmoqMp     - MSG : START - tr_cd=[00201050]+mall_id=[GA000873]+order_no=[2022090513203717534]
0914-102609.403 - 25151 - GA0008739EFmoqMp     - MSG : PG_서버_접속__정상
0914-102609.414 - 25151 - GA0008739EFmoqMp     - MSG : PG_서버_요청_전문_전송__정상
0914-102609.508 - 25151 - GA0008739EFmoqMp     - MSG : PG_서버_응답_전문_수신__정상
0914-102609.510 - 25151 - GA0008739EFmoqMp     - MSG : ENDED - res=[res_cd=0000res_msg=현금 영수증 정상 발급cno=22091410261010820926amount=7500auth_no=588820948tran_date=20220914102610]
0914-102609.767 - 25153 - GA0008739EFmoqMp     - MSG : START - tr_cd=[00201050]+mall_id=[GA000873]+order_no=[2022090513191617533]
0914-102609.772 - 25153 - GA0008739EFmoqMp     - MSG : PG_서버_접속__정상
0914-102609.784 - 25153 - GA0008739EFmoqMp     - MSG : PG_서버_요청_전문_전송__정상
0914-102609.869 - 25153 - GA0008739EFmoqMp     - MSG : PG_서버_응답_전문_수신__정상
0914-102609.870 - 25153 - GA0008739EFmoqMp     - MSG : ENDED - res=[res_cd=0000res_msg=현금 영수증 정상 발급cno=22091410261010820943amount=7500auth_no=588820949tran_date=20220914102610]
0914-102610.121 - 25155 - GA0008739EFmoqMp     - MSG : START - tr_cd=[00201050]+mall_id=[GA000873]+order_no=[2022090513173517532]
0914-102610.126 - 25155 - GA0008739EFmoqMp     - MSG : PG_서버_접속__정상
0914-102610.138 - 25155 - GA0008739EFmoqMp     - MSG : PG_서버_요청_전문_전송__정상
0914-102610.246 - 25155 - GA0008739EFmoqMp     - MSG : PG_서버_응답_전문_수신__정상
0914-102610.248 - 25155 - GA0008739EFmoqMp     - MSG : ENDED - res=[res_cd=0000res_msg=현금 영수증 정상 발급cno=22091410261110820949amount=7500auth_no=588820951tran_date=20220914102611]
0914-102610.538 - 25157 - GA0008739EFmoqMp     - MSG : START - tr_cd=[00201050]+mall_id=[GA000873]+order_no=[2022090513163317531]
0914-102610.542 - 25157 - GA0008739EFmoqMp     - MSG : PG_서버_접속__정상
0914-102610.554 - 25157 - GA0008739EFmoqMp     - MSG : PG_서버_요청_전문_전송__정상
0914-102610.662 - 25157 - GA0008739EFmoqMp     - MSG : PG_서버_응답_전문_수신__정상
0914-102610.664 - 25157 - GA0008739EFmoqMp     - MSG : ENDED - res=[res_cd=8038res_msg=  신분확인정보     확인  요망cno=22091410261110820964]
0914-102610.675 - 25158 - GA0008739EFmoqMp     - MSG : START - tr_cd=[00201050]+mall_id=[GA000873]+order_no=[2022090513163317531]
0914-102610.680 - 25158 - GA0008739EFmoqMp     - MSG : PG_서버_접속__정상
0914-102610.692 - 25158 - GA0008739EFmoqMp     - MSG : PG_서버_요청_전문_전송__정상
0914-102610.721 - 25158 - GA0008739EFmoqMp     - MSG : PG_서버_응답_전문_수신__정상
0914-102610.722 - 25158 - GA0008739EFmoqMp     - MSG : ENDED - res=[res_cd=E203res_msg=원거래내역 없음(취소불가)]
0914-102610.950 - 25160 - GA0008739EFmoqMp     - MSG : START - tr_cd=[00201050]+mall_id=[GA000873]+order_no=[2022090513075717530]
0914-102610.956 - 25160 - GA0008739EFmoqMp     - MSG : PG_서버_접속__정상
0914-102610.967 - 25160 - GA0008739EFmoqMp     - MSG : PG_서버_요청_전문_전송__정상
0914-102611.063 - 25160 - GA0008739EFmoqMp     - MSG : PG_서버_응답_전문_수신__정상
0914-102611.065 - 25160 - GA0008739EFmoqMp     - MSG : ENDED - res=[res_cd=0000res_msg=현금 영수증 정상 발급cno=22091410261110820972amount=7500auth_no=588820953tran_date=20220914102611]
